id_detalle,id_orden,id_producto,id_cliente,id_empleado,id_tienda,id_metodo_pago,id_tiempo,cantidad,precio_unitario,descuento,subtotal,fecha_orden,estado
1,1786,52,320,15,4,4,1,3,3381694.0,0.1,9130574,2023-01-01 10:05:00,Completada
2,1786,16,320,15,4,4,1,3,748954.0,0.15,1909833,2023-01-01 10:05:00,Completada
3,1786,1,320,15,4,4,1,3,831633.0,0.0,2494899,2023-01-01 10:05:00,Completada
4,1786,27,320,15,4,4,1,1,2768937.0,0.0,2768937,2023-01-01 10:05:00,Completada
5,1786,17,320,15,4,4,1,1,4988725.0,0.1,4489852,2023-01-01 10:05:00,Completada
6,4642,25,126,1,4,5,1,1,2659364.0,0.0,2659364,2023-01-01 10:38:00,Completada
7,4642,26,126,1,4,5,1,3,2244438.0,0.0,6733314,2023-01-01 10:38:00,Completada
8,4642,65,126,1,4,5,1,2,4414355.0,0.0,8828710,2023-01-01 10:38:00,Completada
9,4642,68,126,1,4,5,1,2,3504786.0,0.0,7009572,2023-01-01 10:38:00,Completada
10,4642,34,126,1,4,5,1,1,4917281.0,0.0,4917281,2023-01-01 10:38:00,Completada
11,3889,60,493,21,10,6,1,3,2588013.0,0.0,7764039,2023-01-01 11:19:00,Completada
12,3889,74,493,21,10,6,1,2,4678819.0,0.0,9357638,2023-01-01 11:19:00,Completada
13,3889,2,493,21,10,6,1,2,2675106.0,0.15,4547680,2023-01-01 11:19:00,Completada
14,2359,67,181,22,6,2,1,1,1401568.0,0.0,1401568,2023-01-01 20:09:00,Completada
15,2359,68,181,22,6,2,1,3,3504786.0,0.0,10514358,2023-01-01 20:09:00,Completada
16,2359,7,181,22,6,2,1,3,849772.0,0.0,2549316,2023-01-01 20:09:00,Completada
17,2359,39,181,22,6,2,1,1,2545912.0,0.1,2291321,2023-01-01 20:09:00,Completada
18,2359,29,181,22,6,2,1,4,413458.0,0.15,1405757,2023-01-01 20:09:00,Completada
19,1507,65,173,6,6,1,1,3,4414355.0,0.0,13243065,2023-01-01 21:05:00,Completada
20,1507,17,173,6,6,1,1,3,4988725.0,0.15,12721249,2023-01-01 21:05:00,Completada
21,1507,51,173,6,6,1,1,2,4190173.0,0.0,8380346,2023-01-01 21:05:00,Completada
22,1507,10,173,6,6,1,1,3,2025142.0,0.0,6075426,2023-01-01 21:05:00,Completada
23,1507,63,173,6,6,1,1,2,4827443.0,0.0,9654886,2023-01-01 21:05:00,Completada
24,1507,38,173,6,6,1,1,1,762081.0,0.1,685873,2023-01-01 21:05:00,Completada
25,1507,47,173,6,6,1,1,3,489921.0,0.05,1396275,2023-01-01 21:05:00,Completada
26,1507,22,173,6,6,1,1,1,1731906.0,0.0,1731906,2023-01-01 21:05:00,Completada
27,4592,64,338,20,2,1,2,2,2795884.0,0.15,4753003,2023-01-02 08:16:00,Cancelada
28,4038,43,261,13,15,4,2,1,1109003.0,0.0,1109003,2023-01-02 08:42:00,Completada
29,4038,53,261,13,15,4,2,1,3678728.0,0.0,3678728,2023-01-02 08:42:00,Completada
30,4038,4,261,13,15,4,2,4,3465256.0,0.1,12474922,2023-01-02 08:42:00,Completada
31,4038,48,261,13,15,4,2,2,4703211.0,0.0,9406422,2023-01-02 08:42:00,Completada
32,3325,44,138,9,17,2,2,4,3558636.0,0.1,12811090,2023-01-02 08:59:00,Completada
33,3325,54,138,9,17,2,2,3,1053267.0,0.0,3159801,2023-01-02 08:59:00,Completada
34,1023,19,354,1,19,5,2,4,4883309.0,0.0,19533236,2023-01-02 14:12:00,Completada
35,1023,30,354,1,19,5,2,4,1854576.0,0.05,7047389,2023-01-02 14:12:00,Completada
36,1023,60,354,1,19,5,2,2,2588013.0,0.15,4399622,2023-01-02 14:12:00,Completada
37,1023,11,354,1,19,5,2,1,333812.0,0.15,283740,2023-01-02 14:12:00,Completada
38,2484,62,40,7,2,4,2,4,4981306.0,0.0,19925224,2023-01-02 22:02:00,Completada
39,2484,79,40,7,2,4,2,1,4701266.0,0.0,4701266,2023-01-02 22:02:00,Completada
40,2484,23,40,7,2,4,2,4,3175413.0,0.05,12066569,2023-01-02 22:02:00,Completada
41,2484,61,40,7,2,4,2,2,1311538.0,0.1,2360768,2023-01-02 22:02:00,Completada
42,2484,66,40,7,2,4,2,4,951648.0,0.0,3806592,2023-01-02 22:02:00,Completada
43,2484,5,40,7,2,4,2,1,1354368.0,0.05,1286650,2023-01-02 22:02:00,Completada
44,2484,3,40,7,2,4,2,4,2429302.0,0.0,9717208,2023-01-02 22:02:00,Completada
45,1033,29,349,25,17,6,3,4,413458.0,0.15,1405757,2023-01-03 11:30:00,Completada
46,1033,34,349,25,17,6,3,3,4917281.0,0.0,14751843,2023-01-03 11:30:00,Completada
47,1033,77,349,25,17,6,3,4,2907626.0,0.0,11630504,2023-01-03 11:30:00,Completada
48,1033,20,349,25,17,6,3,4,2061075.0,0.15,7007655,2023-01-03 11:30:00,Completada
49,1033,53,349,25,17,6,3,1,3678728.0,0.0,3678728,2023-01-03 11:30:00,Completada
50,1033,15,349,25,17,6,3,2,3564230.0,0.0,7128460,2023-01-03 11:30:00,Completada
51,1033,6,349,25,17,6,3,1,1228186.0,0.0,1228186,2023-01-03 11:30:00,Completada
52,4092,63,54,24,6,3,3,2,4827443.0,0.0,9654886,2023-01-03 18:22:00,Completada
53,4092,28,54,24,6,3,3,2,2967557.0,0.0,5935114,2023-01-03 18:22:00,Completada
54,4092,32,54,24,6,3,3,1,4017667.0,0.0,4017667,2023-01-03 18:22:00,Completada
55,4092,37,54,24,6,3,3,3,3993742.0,0.0,11981226,2023-01-03 18:22:00,Completada
56,4092,17,54,24,6,3,3,4,4988725.0,0.0,19954900,2023-01-03 18:22:00,Completada
57,4092,57,54,24,6,3,3,1,1150465.0,0.15,977895,2023-01-03 18:22:00,Completada
58,2612,67,438,7,13,4,3,3,1401568.0,0.0,4204704,2023-01-03 21:40:00,Completada
59,2612,55,438,7,13,4,3,2,2711825.0,0.15,4610102,2023-01-03 21:40:00,Completada
60,2612,32,438,7,13,4,3,4,4017667.0,0.2,12856534,2023-01-03 21:40:00,Completada
61,2612,42,438,7,13,4,3,2,1636535.0,0.2,2618456,2023-01-03 21:40:00,Completada
62,2612,39,438,7,13,4,3,1,2545912.0,0.0,2545912,2023-01-03 21:40:00,Completada
63,2612,3,438,7,13,4,3,4,2429302.0,0.0,9717208,2023-01-03 21:40:00,Completada
64,2612,73,438,7,13,4,3,1,4256133.0,0.0,4256133,2023-01-03 21:40:00,Completada
65,1740,1,109,14,13,1,3,3,831633.0,0.0,2494899,2023-01-03 22:49:00,Completada
66,1740,62,109,14,13,1,3,3,4981306.0,0.05,14196722,2023-01-03 22:49:00,Completada
67,1740,28,109,14,13,1,3,2,2967557.0,0.1,5341603,2023-01-03 22:49:00,Completada
68,1740,77,109,14,13,1,3,3,2907626.0,0.0,8722878,2023-01-03 22:49:00,Completada
69,3809,50,165,25,18,6,4,3,2593579.0,0.1,7002663,2023-01-04 12:03:00,Completada
70,3809,10,165,25,18,6,4,4,2025142.0,0.0,8100568,2023-01-04 12:03:00,Completada
71,3809,62,165,25,18,6,4,4,4981306.0,0.0,19925224,2023-01-04 12:03:00,Completada
72,1231,73,162,7,7,6,4,2,4256133.0,0.15,7235426,2023-01-04 19:36:00,Completada
73,1231,49,162,7,7,6,4,3,1993884.0,0.0,5981652,2023-01-04 19:36:00,Completada
74,1231,48,162,7,7,6,4,1,4703211.0,0.0,4703211,2023-01-04 19:36:00,Completada
75,1231,60,162,7,7,6,4,2,2588013.0,0.15,4399622,2023-01-04 19:36:00,Completada
76,3344,18,197,2,6,4,5,3,1341237.0,0.0,4023711,2023-01-05 17:30:00,Completada
77,3344,78,197,2,6,4,5,4,1867691.0,0.0,7470764,2023-01-05 17:30:00,Completada
78,3344,30,197,2,6,4,5,2,1854576.0,0.05,3523694,2023-01-05 17:30:00,Completada
79,3344,10,197,2,6,4,5,1,2025142.0,0.0,2025142,2023-01-05 17:30:00,Completada
80,1453,11,101,3,19,6,6,2,333812.0,0.2,534099,2023-01-06 08:42:00,Completada
81,1453,9,101,3,19,6,6,2,2794929.0,0.05,5310365,2023-01-06 08:42:00,Completada
82,1453,20,101,3,19,6,6,4,2061075.0,0.0,8244300,2023-01-06 08:42:00,Completada
83,1453,60,101,3,19,6,6,1,2588013.0,0.1,2329212,2023-01-06 08:42:00,Completada
84,1453,43,101,3,19,6,6,3,1109003.0,0.15,2827958,2023-01-06 08:42:00,Completada
85,1453,25,101,3,19,6,6,3,2659364.0,0.0,7978092,2023-01-06 08:42:00,Completada
86,1453,24,101,3,19,6,6,1,3406720.0,0.0,3406720,2023-01-06 08:42:00,Completada
87,1453,2,101,3,19,6,6,1,2675106.0,0.05,2541351,2023-01-06 08:42:00,Completada
88,2719,53,404,20,7,2,6,2,3678728.0,0.1,6621710,2023-01-06 10:16:00,Cancelada
89,2719,12,404,20,7,2,6,2,1277038.0,0.0,2554076,2023-01-06 10:16:00,Cancelada
90,2719,5,404,20,7,2,6,2,1354368.0,0.0,2708736,2023-01-06 10:16:00,Cancelada
91,2719,54,404,20,7,2,6,2,1053267.0,0.15,1790554,2023-01-06 10:16:00,Cancelada
92,2719,65,404,20,7,2,6,1,4414355.0,0.0,4414355,2023-01-06 10:16:00,Cancelada
93,2719,16,404,20,7,2,6,2,748954.0,0.05,1423013,2023-01-06 10:16:00,Cancelada
94,167,6,441,24,15,5,6,2,1228186.0,0.1,2210735,2023-01-06 12:46:00,Completada
95,167,42,441,24,15,5,6,3,1636535.0,0.1,4418644,2023-01-06 12:46:00,Completada
96,167,44,441,24,15,5,6,3,3558636.0,0.0,10675908,2023-01-06 12:46:00,Completada
97,273,61,251,11,15,3,6,4,1311538.0,0.1,4721537,2023-01-06 12:54:00,Completada
98,2491,17,138,18,14,3,7,1,4988725.0,0.0,4988725,2023-01-07 14:44:00,Completada
99,2491,57,138,18,14,3,7,2,1150465.0,0.0,2300930,2023-01-07 14:44:00,Completada
100,2491,34,138,18,14,3,7,2,4917281.0,0.15,8359378,2023-01-07 14:44:00,Completada
101,2491,29,138,18,14,3,7,4,413458.0,0.0,1653832,2023-01-07 14:44:00,Completada
102,2491,35,138,18,14,3,7,4,2000134.0,0.0,8000536,2023-01-07 14:44:00,Completada
103,2491,69,138,18,14,3,7,3,4234839.0,0.0,12704517,2023-01-07 14:44:00,Completada
104,2491,27,138,18,14,3,7,4,2768937.0,0.0,11075748,2023-01-07 14:44:00,Completada
105,2491,19,138,18,14,3,7,2,4883309.0,0.0,9766618,2023-01-07 14:44:00,Completada
106,3765,54,406,10,14,3,7,2,1053267.0,0.0,2106534,2023-01-07 15:55:00,Completada
107,3765,67,406,10,14,3,7,4,1401568.0,0.15,4765331,2023-01-07 15:55:00,Completada
108,3765,80,406,10,14,3,7,1,4868583.0,0.0,4868583,2023-01-07 15:55:00,Completada
109,3765,29,406,10,14,3,7,4,413458.0,0.1,1488449,2023-01-07 15:55:00,Completada
110,3765,51,406,10,14,3,7,1,4190173.0,0.0,4190173,2023-01-07 15:55:00,Completada
111,722,12,354,1,5,5,7,1,1277038.0,0.0,1277038,2023-01-07 19:13:00,Completada
112,722,23,354,1,5,5,7,1,3175413.0,0.0,3175413,2023-01-07 19:13:00,Completada
113,722,75,354,1,5,5,7,3,3928850.0,0.0,11786550,2023-01-07 19:13:00,Completada
114,722,42,354,1,5,5,7,1,1636535.0,0.0,1636535,2023-01-07 19:13:00,Completada
115,4078,72,72,15,15,3,8,2,4439973.0,0.05,8435949,2023-01-08 10:36:00,Completada
116,4078,9,72,15,15,3,8,4,2794929.0,0.2,8943773,2023-01-08 10:36:00,Completada
117,4078,8,72,15,15,3,8,4,1101633.0,0.0,4406532,2023-01-08 10:36:00,Completada
118,4078,48,72,15,15,3,8,2,4703211.0,0.1,8465780,2023-01-08 10:36:00,Completada
119,4078,46,72,15,15,3,8,1,1749843.0,0.1,1574859,2023-01-08 10:36:00,Completada
120,4078,55,72,15,15,3,8,1,2711825.0,0.0,2711825,2023-01-08 10:36:00,Completada
121,4078,17,72,15,15,3,8,3,4988725.0,0.0,14966175,2023-01-08 10:36:00,Completada
