id_detalle,id_orden,id_producto,cantidad,precio_unitario,descuento,subtotal
1,1786,52,3,3381694.0,0.1,9130574
2,1786,16,3,748954.0,0.15,1909833
3,1786,1,3,831633.0,0.0,2494899
4,1786,27,1,2768937.0,0.0,2768937
5,1786,17,1,4988725.0,0.1,4489852
6,4642,25,1,2659364.0,0.0,2659364
7,4642,26,3,2244438.0,0.0,6733314
8,4642,65,2,4414355.0,0.0,8828710
9,4642,68,2,3504786.0,0.0,7009572
10,4642,34,1,4917281.0,0.0,4917281
11,3889,60,3,2588013.0,0.0,7764039
12,3889,74,2,4678819.0,0.0,9357638
13,3889,2,2,2675106.0,0.15,4547680
14,2359,67,1,1401568.0,0.0,1401568
15,2359,68,3,3504786.0,0.0,10514358
16,2359,7,3,849772.0,0.0,2549316
17,2359,39,1,2545912.0,0.1,2291321
18,2359,29,4,413458.0,0.15,1405757
19,1507,65,3,4414355.0,0.0,13243065
20,1507,17,3,4988725.0,0.15,12721249
21,1507,51,2,4190173.0,0.0,8380346
22,1507,10,3,2025142.0,0.0,6075426
23,1507,63,2,4827443.0,0.0,9654886
24,1507,38,1,762081.0,0.1,685873
25,1507,47,3,489921.0,0.05,1396275
26,1507,22,1,1731906.0,0.0,1731906
27,4592,64,2,2795884.0,0.15,4753003
28,4038,43,1,1109003.0,0.0,1109003
29,4038,53,1,3678728.0,0.0,3678728
30,4038,4,4,3465256.0,0.1,12474922
31,4038,48,2,4703211.0,0.0,9406422
32,3325,44,4,3558636.0,0.1,12811090
33,3325,54,3,1053267.0,0.0,3159801
34,1023,19,4,4883309.0,0.0,19533236
35,1023,30,4,1854576.0,0.05,7047389
36,1023,60,2,2588013.0,0.15,4399622
37,1023,11,1,333812.0,0.15,283740
38,2484,62,4,4981306.0,0.0,19925224
39,2484,79,1,4701266.0,0.0,4701266
40,2484,23,4,3175413.0,0.05,12066569
41,2484,61,2,1311538.0,0.1,2360768
42,2484,66,4,951648.0,0.0,3806592
43,2484,5,1,1354368.0,0.05,1286650
44,2484,3,4,2429302.0,0.0,9717208
45,1033,29,4,413458.0,0.15,1405757
46,1033,34,3,4917281.0,0.0,14751843
47,1033,77,4,2907626.0,0.0,11630504
48,1033,20,4,2061075.0,0.15,7007655
49,1033,53,1,3678728.0,0.0,3678728
50,1033,15,2,3564230.0,0.0,7128460
51,1033,6,1,1228186.0,0.0,1228186
52,4092,63,2,4827443.0,0.0,9654886
53,4092,28,2,2967557.0,0.0,5935114
54,4092,32,1,4017667.0,0.0,4017667
55,4092,37,3,3993742.0,0.0,11981226
56,4092,17,4,4988725.0,0.0,19954900
57,4092,57,1,1150465.0,0.15,977895
58,2612,67,3,1401568.0,0.0,4204704
59,2612,55,2,2711825.0,0.15,4610102
60,2612,32,4,4017667.0,0.2,12856534
61,2612,42,2,1636535.0,0.2,2618456
62,2612,39,1,2545912.0,0.0,2545912
63,2612,3,4,2429302.0,0.0,9717208
64,2612,73,1,4256133.0,0.0,4256133
