id_envio,id_orden,empresa_envio,costo_envio,tiempo_entrega_dias,fecha_estimada,fecha_real
1,1786,FedEx,221.0,6,2023-01-07 10:05:00,2023-01-06 10:05:00
2,4642,DHL,26321.0,4,2023-01-05 10:38:00,2023-01-06 10:38:00
3,3889,Interrapidisimo,23536.0,5,2023-01-06 11:19:00,2023-01-09 11:19:00
4,2359,Envía,5395.0,2,2023-01-03 20:09:00,2023-01-07 20:09:00
5,1507,Interrapidisimo,11024.0,5,2023-01-06 21:05:00,2023-01-07 21:05:00
6,4038,DHL,22425.0,8,2023-01-10 08:42:00,2023-01-10 08:42:00
7,3325,DHL,22865.0,1,2023-01-03 08:59:00,2023-01-06 08:59:00
8,1023,FedEx,27146.0,2,2023-01-04 14:12:00,2023-01-07 14:12:00
9,2484,DHL,17186.0,3,2023-01-05 22:02:00,2023-01-09 22:02:00
10,1033,Servientrega,28032.0,6,2023-01-09 11:30:00,2023-01-10 11:30:00
11,4092,Coordinadora,6784.0,4,2023-01-07 18:22:00,2023-01-07 18:22:00
12,2612,Interrapidisimo,32958.0,9,2023-01-12 21:40:00,2023-01-11 21:40:00
13,1740,Interrapidisimo,23152.0,7,2023-01-10 22:49:00,2023-01-08 22:49:00
14,3809,Interrapidisimo,7802.0,6,2023-01-10 12:03:00,2023-01-14 12:03:00
15,1231,DHL,4012.0,8,2023-01-12 19:36:00,2023-01-15 19:36:00
16,3344,Envía,23.0,8,2023-01-13 17:30:00,2023-01-14 17:30:00
17,1453,DHL,17639.0,6,2023-01-12 08:42:00,2023-01-13 08:42:00
18,167,FedEx,6619.0,8,2023-01-14 12:46:00,2023-01-16 12:46:00
19,273,FedEx,34313.0,9,2023-01-15 12:54:00,2023-01-18 12:54:00
20,2491,Envía,17933.0,1,2023-01-08 14:44:00,2023-01-10 14:44:00
21,3765,Interrapidisimo,833.0,1,2023-01-08 15:55:00,2023-01-07 15:55:00
22,722,DHL,19214.0,2,2023-01-09 19:13:00,2023-01-09 19:13:00
23,4078,FedEx,19690.0,4,2023-01-12 10:36:00,2023-01-14 10:36:00
24,4322,Interrapidisimo,11412.0,2,2023-01-10 15:53:00,2023-01-12 15:53:00
25,2487,Interrapidisimo,32377.0,8,2023-01-16 16:45:00,2023-01-16 16:45:00
26,3442,Envía,29860.0,2,2023-01-10 18:14:00,2023-01-10 18:14:00
27,1531,Interrapidisimo,9380.0,2,2023-01-11 16:47:00,2023-01-14 16:47:00
28,1415,Servientrega,18000.0,8,2023-01-17 18:46:00,2023-01-18 18:46:00
29,2785,Servientrega,15329.0,3,2023-01-12 19:06:00,2023-01-16 19:06:00
30,4359,Coordinadora,21243.0,8,2023-01-17 22:58:00,2023-01-15 22:58:00
31,2550,DHL,23979.0,8,2023-01-18 16:15:00,2023-01-17 16:15:00
32,4456,FedEx,2165.0,3,2023-01-13 22:29:00,2023-01-16 22:29:00
33,4405,Servientrega,7701.0,1,2023-01-12 10:33:00,2023-01-16 10:33:00
34,2596,Interrapidisimo,33499.0,4,2023-01-15 14:02:00,2023-01-13 14:02:00
35,3223,Servientrega,4425.0,5,2023-01-16 15:21:00,2023-01-18 15:21:00
36,1636,Servientrega,18595.0,3,2023-01-14 17:38:00,2023-01-16 17:38:00
37,1771,Servientrega,13847.0,3,2023-01-14 20:05:00,2023-01-14 20:05:00
38,456,DHL,19506.0,2,2023-01-13 22:05:00,2023-01-16 22:05:00
39,4476,Servientrega,753.0,9,2023-01-20 22:44:00,2023-01-24 22:44:00
40,3054,Servientrega,34642.0,4,2023-01-16 13:02:00,2023-01-18 13:02:00
41,3995,Servientrega,15227.0,7,2023-01-19 13:56:00,2023-01-18 13:56:00
42,2212,FedEx,33245.0,8,2023-01-20 17:56:00,2023-01-20 17:56:00
43,3668,Envía,33236.0,6,2023-01-19 09:55:00,2023-01-22 09:55:00
44,4626,FedEx,24884.0,6,2023-01-19 15:51:00,2023-01-22 15:51:00
45,3979,Interrapidisimo,19766.0,8,2023-01-21 17:29:00,2023-01-21 17:29:00
46,3733,Coordinadora,14369.0,5,2023-01-19 10:52:00,2023-01-17 10:52:00
47,3180,Interrapidisimo,31047.0,4,2023-01-18 11:53:00,2023-01-22 11:53:00
48,2216,DHL,22917.0,4,2023-01-18 11:56:00,2023-01-17 11:56:00
49,692,Coordinadora,10551.0,5,2023-01-19 12:24:00,2023-01-23 12:24:00
50,1705,Interrapidisimo,34342.0,6,2023-01-20 16:56:00,2023-01-22 16:56:00
51,4640,Servientrega,5188.0,4,2023-01-18 20:31:00,2023-01-20 20:31:00
52,1752,FedEx,32755.0,5,2023-01-20 17:33:00,2023-01-20 17:33:00
53,3958,Interrapidisimo,31761.0,4,2023-01-19 19:27:00,2023-01-18 19:27:00
54,3565,Interrapidisimo,13589.0,5,2023-01-21 10:28:00,2023-01-20 10:28:00
55,346,Envía,16442.0,3,2023-01-19 11:19:00,2023-01-22 11:19:00
56,2391,Interrapidisimo,662.0,7,2023-01-23 17:31:00,2023-01-26 17:31:00
57,4904,Servientrega,29730.0,4,2023-01-20 17:37:00,2023-01-24 17:37:00
58,3126,Interrapidisimo,23719.0,1,2023-01-18 09:40:00,2023-01-22 09:40:00
59,4278,Servientrega,17239.0,3,2023-01-20 10:54:00,2023-01-18 10:54:00
60,1942,Interrapidisimo,15059.0,7,2023-01-24 11:05:00,2023-01-24 11:05:00
61,4951,Servientrega,1955.0,4,2023-01-21 11:08:00,2023-01-21 11:08:00
62,4012,Servientrega,20980.0,5,2023-01-22 14:30:00,2023-01-20 14:30:00
63,2367,Interrapidisimo,22459.0,3,2023-01-20 17:32:00,2023-01-19 17:32:00
64,596,Servientrega,13532.0,7,2023-01-24 21:06:00,2023-01-28 21:06:00
65,3203,Interrapidisimo,22675.0,2,2023-01-19 21:17:00,2023-01-23 21:17:00
66,1839,Envía,4767.0,8,2023-01-26 08:43:00,2023-01-24 08:43:00
67,2111,Interrapidisimo,5280.0,4,2023-01-22 09:24:00,2023-01-24 09:24:00
68,3353,Envía,34853.0,8,2023-01-26 09:29:00,2023-01-29 09:29:00
69,1355,Interrapidisimo,22842.0,7,2023-01-25 11:16:00,2023-01-23 11:16:00
70,4232,Coordinadora,18790.0,5,2023-01-23 13:48:00,2023-01-25 13:48:00
71,4582,Servientrega,6706.0,7,2023-01-25 15:59:00,2023-01-26 15:59:00
72,1046,Interrapidisimo,312.0,2,2023-01-20 17:41:00,2023-01-18 17:41:00
73,3983,DHL,22894.0,7,2023-01-26 09:27:00,2023-01-28 09:27:00
74,1594,Envía,32634.0,4,2023-01-23 09:42:00,2023-01-25 09:42:00
75,676,Interrapidisimo,7656.0,4,2023-01-23 12:36:00,2023-01-23 12:36:00
76,3849,Servientrega,6144.0,2,2023-01-21 13:46:00,2023-01-24 13:46:00
77,1353,FedEx,8055.0,5,2023-01-24 15:58:00,2023-01-28 15:58:00
78,3815,Interrapidisimo,30565.0,1,2023-01-20 16:54:00,2023-01-19 16:54:00
79,4080,FedEx,34135.0,8,2023-01-27 22:59:00,2023-01-28 22:59:00
80,1855,Servientrega,25029.0,2,2023-01-22 10:26:00,2023-01-22 10:26:00
81,1440,Envía,8666.0,2,2023-01-22 12:26:00,2023-01-20 12:26:00
82,1129,Servientrega,4750.0,5,2023-01-25 13:00:00,2023-01-28 13:00:00
83,3532,DHL,356.0,2,2023-01-22 15:51:00,2023-01-25 15:51:00
84,4547,Interrapidisimo,15828.0,1,2023-01-21 17:22:00,2023-01-22 17:22:00
85,830,Servientrega,16785.0,1,2023-01-21 19:10:00,2023-01-25 19:10:00
86,1811,Interrapidisimo,9935.0,3,2023-01-23 19:53:00,2023-01-25 19:53:00
87,207,Servientrega,8014.0,7,2023-01-27 22:51:00,2023-01-28 22:51:00
88,3951,Interrapidisimo,12860.0,6,2023-01-28 14:43:00,2023-01-27 14:43:00
89,3409,Interrapidisimo,10418.0,5,2023-01-27 15:24:00,2023-01-25 15:24:00
90,2452,Envía,6582.0,8,2023-01-30 18:00:00,2023-01-28 18:00:00
91,1682,Coordinadora,18625.0,3,2023-01-25 18:15:00,2023-01-23 18:15:00
92,4097,Interrapidisimo,940.0,1,2023-01-23 21:22:00,2023-01-21 21:22:00
93,3554,Servientrega,2666.0,7,2023-01-30 10:20:00,2023-02-02 10:20:00
94,4203,Interrapidisimo,17741.0,1,2023-01-24 14:53:00,2023-01-27 14:53:00
95,2405,Coordinadora,9054.0,3,2023-01-26 15:29:00,2023-01-25 15:29:00
96,3604,DHL,2457.0,2,2023-01-25 18:17:00,2023-01-24 18:17:00
