id_log,proceso,estado,timestamp,registros_procesados
1,CargaOrdenes,Éxito,2026-01-26 22:29:43,4
2,CargaOrdenes,Éxito,2026-01-02 08:34:45,69
3,CargaOrdenes,Éxito,2026-01-03 07:00:02,6
4,CargaOrdenes,Éxito,2026-01-15 16:57:27,90
5,CargaOrdenes,Éxito,2026-01-19 16:26:33,5
6,CargaOrdenes,Éxito,2026-01-10 03:18:51,32
7,CargaOrdenes,Error,2026-01-18 01:50:11,17
8,CargaOrdenes,Éxito,2026-01-27 02:32:24,37
9,CargaOrdenes,Éxito,2026-01-03 13:05:29,56
10,CargaOrdenes,Reintento,2026-01-22 01:25:06,3
11,CargaOrdenes,Éxito,2026-01-25 16:17:58,45
12,CargaOrdenes,Éxito,2026-01-26 10:29:10,47
13,CargaOrdenes,Éxito,2026-01-09 15:43:22,33
14,CargaOrdenes,Éxito,2026-01-25 16:43:53,42
15,CargaOrdenes,Éxito,2026-01-19 00:02:28,81
16,CargaOrdenes,Error,2026-01-03 04:06:12,79
17,CargaOrdenes,Éxito,2026-01-11 09:54:09,74
18,CargaOrdenes,Éxito,2026-01-05 18:56:11,10
19,CargaOrdenes,Éxito,2026-01-23 04:42:57,90
20,CargaOrdenes,Éxito,2026-01-10 00:21:44,36
21,CargaOrdenes,Éxito,2026-01-11 18:08:39,22
22,CargaOrdenes,Éxito,2026-01-16 13:11:19,43
23,CargaOrdenes,Error,2026-01-04 13:00:31,53
24,CargaOrdenes,Éxito,2026-01-10 21:13:14,17
25,CargaOrdenes,Éxito,2026-01-25 01:02:14,40
26,CargaOrdenes,Éxito,2026-01-11 00:51:57,83
27,CargaOrdenes,Éxito,2026-01-28 17:25:57,35
28,CargaOrdenes,Éxito,2026-01-30 18:12:59,24
29,CargaOrdenes,Éxito,2026-01-01 18:10:00,21
30,CargaOrdenes,Reintento,2026-01-03 04:42:04,83
31,CargaOrdenes,Éxito,2026-01-19 12:27:59,78
32,CargaOrdenes,Éxito,2026-01-11 00:02:31,86
33,CargaOrdenes,Éxito,2026-01-06 15:32:07,38
34,CargaOrdenes,Éxito,2026-01-15 02:23:20,35
35,CargaOrdenes,Éxito,2026-01-01 05:31:15,38
36,CargaOrdenes,Éxito,2026-01-12 16:04:17,61
37,CargaOrdenes,Éxito,2026-01-17 01:21:08,34
38,CargaOrdenes,Éxito,2026-01-09 14:17:14,5
39,CargaOrdenes,Éxito,2026-01-19 22:17:05,23
40,CargaOrdenes,Éxito,2026-01-12 02:04:20,62
41,CargaOrdenes,Éxito,2026-01-19 01:09:34,5
42,CargaOrdenes,Éxito,2026-01-20 12:18:57,1
43,CargaOrdenes,Éxito,2026-01-03 04:08:43,91
44,CargaOrdenes,Éxito,2026-01-08 13:40:13,49
45,CargaOrdenes,Éxito,2026-01-07 21:03:24,1
46,CargaOrdenes,Éxito,2026-01-30 01:35:46,21
47,CargaOrdenes,Éxito,2026-01-12 22:48:45,59
48,CargaOrdenes,Éxito,2026-01-13 12:48:27,7
49,CargaOrdenes,Éxito,2026-01-21 12:38:42,69
50,CargaOrdenes,Éxito,2026-01-28 16:43:37,45
51,CargaOrdenes,Éxito,2026-01-16 00:52:20,10
52,CargaOrdenes,Éxito,2026-01-10 22:41:53,46
53,CargaOrdenes,Éxito,2026-01-14 05:37:09,52
54,CargaOrdenes,Éxito,2026-01-20 20:45:23,15
55,CargaOrdenes,Éxito,2026-01-01 11:54:56,20
56,CargaOrdenes,Éxito,2026-01-21 04:32:38,13
57,CargaOrdenes,Éxito,2026-01-21 01:55:31,28
58,CargaOrdenes,Éxito,2026-01-19 07:23:25,16
59,CargaOrdenes,Éxito,2026-01-14 11:59:40,41
60,CargaOrdenes,Éxito,2026-01-10 04:46:45,83
61,CargaOrdenes,Éxito,2026-01-24 16:48:48,15
62,CargaOrdenes,Éxito,2026-01-13 07:15:43,12
63,CargaOrdenes,Éxito,2026-01-30 03:12:06,11
64,CargaOrdenes,Éxito,2026-01-01 12:09:05,60
65,CargaOrdenes,Éxito,2026-01-20 04:45:15,97
66,CargaOrdenes,Éxito,2026-01-03 00:41:59,32
67,CargaOrdenes,Éxito,2026-01-22 19:16:20,7
68,CargaOrdenes,Éxito,2026-01-07 06:09:56,10
69,CargaOrdenes,Éxito,2026-01-11 19:47:03,70
70,CargaOrdenes,Éxito,2026-01-04 10:10:00,92
71,CargaOrdenes,Error,2026-01-06 13:15:46,4
72,CargaOrdenes,Éxito,2026-01-06 14:18:32,97
73,CargaOrdenes,Éxito,2026-01-08 17:09:34,6
74,CargaOrdenes,Éxito,2026-01-24 17:11:11,75
75,CargaOrdenes,Éxito,2026-01-04 05:28:42,25
76,CargaOrdenes,Error,2026-01-09 21:37:41,71
77,CargaOrdenes,Éxito,2026-01-27 01:34:48,44
78,CargaOrdenes,Reintento,2026-01-16 21:25:25,80
79,CargaOrdenes,Éxito,2026-01-09 02:59:46,1
80,CargaOrdenes,Éxito,2026-01-13 10:50:35,63
81,CargaOrdenes,Éxito,2026-01-20 07:56:30,46
82,CargaOrdenes,Éxito,2026-01-14 19:49:26,15
83,CargaOrdenes,Éxito,2026-01-27 00:47:17,40
84,CargaOrdenes,Éxito,2026-01-14 21:43:32,12
85,CargaOrdenes,Éxito,2026-01-14 19:42:18,77
86,CargaOrdenes,Éxito,2026-01-28 16:13:27,81
87,CargaOrdenes,Éxito,2026-01-13 16:40:07,62
88,CargaOrdenes,Éxito,2026-01-06 06:24:08,28
89,CargaOrdenes,Éxito,2026-01-06 19:06:42,87
90,CargaOrdenes,Éxito,2026-01-20 04:05:56,57
91,CargaOrdenes,Éxito,2026-01-10 19:29:38,44
92,CargaOrdenes,Éxito,2026-01-05 04:47:00,76
93,CargaOrdenes,Éxito,2026-01-27 22:19:50,93
94,CargaOrdenes,Éxito,2026-01-25 04:10:25,53
95,CargaOrdenes,Éxito,2026-01-10 17:56:06,83
96,CargaOrdenes,Éxito,2026-01-07 04:05:59,51
