id_orden,id_cliente,id_empleado,id_tienda,id_metodo_pago,fecha_orden,estado
1786,320,15,4,4,2023-01-01 10:05:00,Completada
4642,126,1,4,5,2023-01-01 10:38:00,Completada
3889,493,21,10,6,2023-01-01 11:19:00,Completada
2359,181,22,6,2,2023-01-01 20:09:00,Completada
1507,173,6,6,1,2023-01-01 21:05:00,Completada
4592,338,20,2,1,2023-01-02 08:16:00,Cancelada
4038,261,13,15,4,2023-01-02 08:42:00,Completada
3325,138,9,17,2,2023-01-02 08:59:00,Completada
1023,354,1,19,5,2023-01-02 14:12:00,Completada
2484,40,7,2,4,2023-01-02 22:02:00,Completada
1033,349,25,17,6,2023-01-03 11:30:00,Completada
4092,54,24,6,3,2023-01-03 18:22:00,Completada
2612,438,7,13,4,2023-01-03 21:40:00,Completada
1740,109,14,13,1,2023-01-03 22:49:00,Completada
3809,165,25,18,6,2023-01-04 12:03:00,Completada
1231,162,7,7,6,2023-01-04 19:36:00,Completada
3344,197,2,6,4,2023-01-05 17:30:00,Completada
1453,101,3,19,6,2023-01-06 08:42:00,Completada
2719,404,20,7,2,2023-01-06 10:16:00,Cancelada
167,441,24,15,5,2023-01-06 12:46:00,Completada
273,251,11,15,3,2023-01-06 12:54:00,Completada
2491,138,18,14,3,2023-01-07 14:44:00,Completada
3765,406,10,14,3,2023-01-07 15:55:00,Completada
722,354,1,5,5,2023-01-07 19:13:00,Completada
4078,72,15,15,3,2023-01-08 10:36:00,Completada
4322,123,11,9,5,2023-01-08 15:53:00,Completada
2487,386,18,1,6,2023-01-08 16:45:00,Completada
3442,26,2,20,3,2023-01-08 18:14:00,Completada
1531,193,11,13,6,2023-01-09 16:47:00,Completada
1415,371,12,4,6,2023-01-09 18:46:00,Completada
2785,293,23,4,3,2023-01-09 19:06:00,Completada
3345,73,9,13,6,2023-01-09 22:00:00,Cancelada
4359,181,5,9,1,2023-01-09 22:58:00,Completada
3613,18,13,2,1,2023-01-10 08:49:00,Cancelada
2550,63,18,5,3,2023-01-10 16:15:00,Completada
4456,429,17,8,3,2023-01-10 22:29:00,Completada
4405,180,9,10,4,2023-01-11 10:33:00,Completada
2596,451,15,8,5,2023-01-11 14:02:00,Completada
3223,367,5,4,1,2023-01-11 15:21:00,Completada
1636,476,10,8,6,2023-01-11 17:38:00,Completada
1771,339,9,8,1,2023-01-11 20:05:00,Completada
456,307,2,1,2,2023-01-11 22:05:00,Completada
4476,339,7,1,5,2023-01-11 22:44:00,Completada
3054,111,19,16,6,2023-01-12 13:02:00,Completada
3995,217,25,12,5,2023-01-12 13:56:00,Completada
2212,285,25,16,3,2023-01-12 17:56:00,Completada
1751,128,19,19,1,2023-01-12 19:47:00,Pendiente
3668,298,22,20,5,2023-01-13 09:55:00,Enviada
4626,151,18,4,5,2023-01-13 15:51:00,Completada
3979,162,14,10,4,2023-01-13 17:29:00,Completada
3733,400,9,6,2,2023-01-14 10:52:00,Completada
3180,244,5,11,2,2023-01-14 11:53:00,Completada
2216,141,25,8,6,2023-01-14 11:56:00,Completada
692,196,24,13,2,2023-01-14 12:24:00,Completada
1705,383,13,3,2,2023-01-14 16:56:00,Enviada
4640,180,18,5,5,2023-01-14 20:31:00,Completada
1752,452,5,20,6,2023-01-15 17:33:00,Completada
3958,159,20,19,1,2023-01-15 19:27:00,Completada
3565,146,12,14,2,2023-01-16 10:28:00,Completada
346,482,11,18,2,2023-01-16 11:19:00,Completada
1363,78,3,13,4,2023-01-16 16:42:00,Pendiente
2391,221,8,1,2,2023-01-16 17:31:00,Completada
4904,220,22,17,5,2023-01-16 17:37:00,Completada
3126,107,12,17,3,2023-01-17 09:40:00,Completada
4278,217,2,8,2,2023-01-17 10:54:00,Completada
1942,481,23,17,4,2023-01-17 11:05:00,Completada
4951,210,3,14,5,2023-01-17 11:08:00,Completada
4012,149,19,7,5,2023-01-17 14:30:00,Completada
2367,48,3,8,5,2023-01-17 17:32:00,Completada
596,195,14,16,5,2023-01-17 21:06:00,Completada
3203,360,5,11,5,2023-01-17 21:17:00,Completada
1839,118,19,5,4,2023-01-18 08:43:00,Completada
2111,150,8,7,3,2023-01-18 09:24:00,Completada
3353,30,16,3,5,2023-01-18 09:29:00,Completada
1355,46,11,1,5,2023-01-18 11:16:00,Devuelta
4232,11,4,18,5,2023-01-18 13:48:00,Completada
4582,280,23,20,6,2023-01-18 15:59:00,Completada
1046,325,11,4,1,2023-01-18 17:41:00,Devuelta
3983,150,4,4,5,2023-01-19 09:27:00,Completada
1594,477,23,10,1,2023-01-19 09:42:00,Completada
676,315,6,14,2,2023-01-19 12:36:00,Completada
3849,302,11,11,2,2023-01-19 13:46:00,Completada
1353,122,24,8,4,2023-01-19 15:58:00,Completada
3815,290,14,3,2,2023-01-19 16:54:00,Completada
4080,129,24,15,2,2023-01-19 22:59:00,Completada
1855,452,13,1,6,2023-01-20 10:26:00,Completada
1440,81,6,17,6,2023-01-20 12:26:00,Completada
1129,13,7,19,1,2023-01-20 13:00:00,Completada
3532,490,23,9,5,2023-01-20 15:51:00,Completada
4547,427,1,15,2,2023-01-20 17:22:00,Completada
830,260,4,15,4,2023-01-20 19:10:00,Completada
1811,375,4,16,5,2023-01-20 19:53:00,Completada
207,294,24,9,3,2023-01-20 22:51:00,Completada
3951,321,19,9,4,2023-01-22 14:43:00,Enviada
3409,17,15,4,1,2023-01-22 15:24:00,Completada
2452,265,2,10,4,2023-01-22 18:00:00,Completada
1682,465,4,7,5,2023-01-22 18:15:00,Completada
4097,46,18,3,1,2023-01-22 21:22:00,Devuelta
3554,390,17,8,5,2023-01-23 10:20:00,Completada
4203,396,24,4,5,2023-01-23 14:53:00,Completada
2405,132,2,20,4,2023-01-23 15:29:00,Completada
3604,251,16,2,4,2023-01-23 18:17:00,Completada
4224,118,7,12,3,2023-01-23 20:58:00,Completada
695,369,24,20,1,2023-01-24 12:41:00,Completada
2065,387,3,18,4,2023-01-24 18:49:00,Completada
1066,141,24,17,1,2023-01-25 13:59:00,Devuelta
3519,280,2,10,5,2023-01-25 15:41:00,Completada
4120,364,5,11,2,2023-01-25 17:06:00,Pendiente
4815,244,9,12,2,2023-01-26 09:19:00,Pendiente
1952,452,16,13,6,2023-01-26 09:49:00,Completada
1106,467,2,8,5,2023-01-26 11:02:00,Completada
872,194,11,12,5,2023-01-26 12:26:00,Completada
92,302,5,6,4,2023-01-26 17:18:00,Completada
2602,400,3,1,2,2023-01-26 19:46:00,Completada
